beta,immune_effect_on_progression_to_clinical,max_clinical_probability,midpoint,mean_pfpr,mean_eir,mean_population,total_clinical_episodes,avg_clinical_episodes_per_1000,mean_immunity_all,mean_immunity_under5,mean_immunity_2to10
0.1,15,0.99,0.1,6.596151438344267,3.4205780688216314,61604.25,18658,302.86871441499574,0.18638886468591398,0.095972675294534,0.15471750334872106
0.1,15,0.99,0.2,6.135395746954593,3.10841915572644,61052.5,30858,505.43384791777567,0.15955334831820173,0.07435193884372619,0.1206063012596863
0.15,5,0.9,0.02,10.69655945944558,6.421891646310229,62144.333333333336,5326,85.70371125283614,0.3028811799379903,0.16406389006384184,0.265651124597945
0.15,5,0.9,0.05,10.348152589718858,6.335855363963215,61927.916666666664,10479,169.21286172768072,0.2906610294226675,0.1532597045006329,0.253794276152047
0.15,5,0.9,0.1,9.899243358185693,6.158633221526261,61516.666666666664,17945,291.70956380384723,0.27524431466999427,0.13873951008549038,0.2351101991354766
0.15,5,0.9,0.2,9.269696863779151,6.094208156393236,61013.25,33349,546.5861923434663,0.24678245090252193,0.11302162200416098,0.1971747479378905
0.15,5,0.95,0.02,10.577316100547764,6.637847330725489,61926.333333333336,5618,90.72069501935094,0.30384008926475575,0.16474329701330356,0.2682405622686984
0.15,5,0.95,0.05,10.252691685286285,6.422635357386286,61423.333333333336,11242,183.02490910077603,0.29020409937898245,0.15005852067723568,0.2505875627832741
0.15,5,0.95,0.1,9.834191262629753,6.2565098211300905,61665.25,19889,322.5317338371287,0.2719062602027323,0.13258340880923458,0.22878711384055153
0.15,5,0.95,0.2,9.237047247918161,5.995466848413794,60827.75,37153,610.7903054115925,0.24072920379736593,0.10708910490203137,0.18892685612143492
0.15,5,0.99,0.02,10.887583094632015,6.6016746756423075,61822.833333333336,6341,102.56728231478661,0.30279746640369487,0.1590708059135518,0.26426819944176405
0.15,5,0.99,0.05,10.06063462582901,6.237415705435822,61794.333333333336,12117,196.0859409978261,0.2843478040370712,0.1465633916161758,0.24451909713387499
0.15,5,0.99,0.1,9.533264418561208,6.099353612499146,61450.583333333336,21299,346.6037073149563,0.26560552016019273,0.1276608895462378,0.2215875498605722
0.15,5,0.99,0.2,9.162594367774135,6.0625034631292225,60904.416666666664,39534,649.1154856038081,0.23621066862333825,0.10710500599512986,0.18516867685247498
0.15,10,0.9,0.02,10.596406377139475,6.638554312566687,62268.0,5037,80.89227211408749,0.3042144065806033,0.16766257749170135,0.2652066927197516
0.15,10,0.9,0.05,10.119941041954982,6.26415461988879,61752.0,9940,160.96644643088484,0.28927124096710516,0.15229767572972008,0.2530908460793851
0.15,10,0.9,0.1,9.702187371867351,6.129043583907072,61419.583333333336,17179,279.69906449490185,0.27368833312898916,0.13678235895500265,0.2337438239076013
0.15,10,0.9,0.2,9.25664118337793,6.026168384601488,61045.5,32179,527.1314019870424,0.24712101891484406,0.11145228891935226,0.19519102638652122
