enable_recrudescence,age_based_probability_of_seeking_treatment,factor_effect_age_mature_immunity,beta,immune_effect_on_progression_to_clinical,max_clinical_probability,midpoint,mean_pfpr,mean_eir,mean_population,total_clinical_episodes,avg_clinical_episodes_per_1000,total_treatments,avg_treatments_per_1000,mean_immunity_all,mean_immunity_under5,mean_immunity_2to10
True,1,0.5,0.1,5,0.9,0.2,6.590868082568498,3.476434646069613,61097.666666666664,45400,743.0725668738032,31714,519.0705591593787,0.1486825928635763,0.05068898459745714,0.0921775488469714
True,1,0.5,0.1,5,0.9,0.1,6.7735589010735175,3.603172039316506,61054.583333333336,27438,449.40115060976854,19166,313.9158266851383,0.1755632673756606,0.06320169190499073,0.12222220191278714
True,1,0.5,0.1,5,0.9,0.05,7.299447004376518,3.618792775925003,61751.166666666664,17797,288.20508114556543,12441,201.46987776209357,0.19887449978587646,0.07705570641791142,0.14624447825375209
True,1,0.5,0.1,5,0.9,0.02,7.825085168146116,3.762036737529739,62084.583333333336,9141,147.23461943719255,6443,103.77777628638349,0.21878804201767132,0.09452694397813331,0.17092985718284515
True,1,0.5,0.1,5,0.95,0.05,7.010544821499081,3.5808166852626493,61863.0,20256,327.4331991658989,14197,229.49097198648627,0.18952603951179847,0.06931844211633564,0.13418171060436554
True,1,0.5,0.1,5,0.95,0.2,6.173742244417696,3.427052627186177,60935.25,49859,818.2291858981459,35052,575.2335470848154,0.13705538341280682,0.04447418156757971,0.07875858088973269
True,1,0.5,0.1,5,0.95,0.02,7.664397135565443,3.7811694008450183,61901.5,10170,164.2932723762752,7215,116.55614161207725,0.2164616261304579,0.08971791803922853,0.1658112780829831
True,1,0.5,0.1,5,0.95,0.1,6.535603781622188,3.5273184023223094,61188.833333333336,31628,516.8916986487185,22197,362.7622687146075,0.1660183572577755,0.056552627912214104,0.11096652220664666
True,1,0.5,0.1,5,0.99,0.2,6.0147602541954805,3.5308633491477814,60769.916666666664,55704,916.637755248965,38790,638.3092511508572,0.12801352265548868,0.040803832657613746,0.06887835002152483
True,1,0.5,0.1,5,0.99,0.05,7.012835491643563,3.5501477623670845,61511.416666666664,23042,374.5971276334881,16185,263.12188658744924,0.18745995845168528,0.06483477481121223,0.12529481299348147
True,1,0.5,0.1,5,0.99,0.1,6.359914394314487,3.4394276913777997,61272.666666666664,36109,589.3166066435278,25287,412.6962539033174,0.15644544943360147,0.05028944347557913,0.09612618005377359
True,1,0.5,0.1,5,0.99,0.02,7.737499299858135,3.6816827752950783,62048.166666666664,11592,186.82260287035075,8166,131.60743400960007,0.2139597320624983,0.08649373880933804,0.16043802655731773
True,1,0.5,0.1,10,0.9,0.1,6.692222628521907,3.529684681003836,61381.333333333336,28276,460.6612216526197,19733,321.4821009644626,0.17337531877536597,0.06154113932488927,0.11757871666057862
True,1,0.5,0.1,10,0.9,0.2,6.1700625071327835,3.4226692996845265,60619.5,43896,724.1234256303665,30617,505.06850105988997,0.14419681585957705,0.04805097923192105,0.0843185798062791
True,1,0.5,0.1,10,0.9,0.05,7.114949908961541,3.489769873468143,61743.75,18146,293.8920943415325,12674,205.26773964976212,0.1942802418779136,0.07380584254257536,0.14123221161784902
True,1,0.5,0.1,10,0.9,0.02,7.811391505273337,3.6807986959679493,61921.0,9383,151.53179050725927,6621,106.92656772338947,0.21810919092399508,0.09113095783926212,0.16982587178322353
True,1,0.5,0.1,10,0.95,0.05,6.689947317281452,3.62957791459254,61580.666666666664,20224,328.41476220891843,14117,229.2440268049496,0.18940861350304936,0.0676825461083324,0.1345359499534087
True,1,0.5,0.1,10,0.95,0.1,6.485806501528465,3.4265764158143663,61428.916666666664,32262,525.192397174512,22596,367.8397931484494,0.16465908105363974,0.053988568847299766,0.10774249323893638
True,1,0.5,0.1,10,0.95,0.2,6.4242243624646305,3.5512738962050654,60484.5,52203,863.0806239615107,36609,605.2625052699452,0.1383441722728391,0.045102414428026344,0.07916210467451568
True,1,0.5,0.1,10,0.95,0.02,7.85600514813467,3.7975760297623555,62012.0,10515,169.56395536347804,7325,118.12229890988841,0.2186457332156724,0.09088163422792743,0.16558868008034724
True,1,0.5,0.1,10,0.99,0.1,6.344317050309884,3.42556791972148,60953.583333333336,36203,593.9437522814492,25288,414.87306598053436,0.15547641987848584,0.04750677302366957,0.09656150919136575
True,1,0.5,0.1,10,0.99,0.2,6.210545056003532,3.5338377280968083,60572.0,58054,958.4296374562505,40814,673.8096810407449,0.12779820962757715,0.04190120639734923,0.0688249167706261
True,1,0.5,0.1,10,0.99,0.02,7.656720968696209,3.6852965358842975,61831.0,11546,186.73480939981562,8044,130.09655350875772,0.21295390119153426,0.08482624170958182,0.16004484657595378
True,1,0.5,0.1,10,0.99,0.05,6.883206851740623,3.559549571075861,61447.583333333336,23764,386.7361206231327,16653,271.01147183710776,0.18507885613056377,0.06372790174058884,0.1242894902917671
True,1,0.5,0.1,15,0.9,0.02,7.90910890248258,3.8327641069797007,62182.833333333336,9471,152.3089169840551,6584,105.88131236648914,0.2204579177397248,0.09266538968871078,0.16730565138356224
True,1,0.5,0.1,15,0.9,0.2,6.41853896883396,3.509208538666717,61193.166666666664,45841,749.1195912397627,32273,527.3954880583071,0.1458986863171899,0.04928742495982013,0.08758030131005601
True,1,0.5,0.1,15,0.9,0.05,7.175599165258716,3.5809193384123845,61558.75,18424,299.29132739050095,12769,207.42786362621075,0.19497982586057927,0.07453135504206317,0.14041009030096854
True,1,0.5,0.1,15,0.9,0.1,6.841693464716049,3.4902791878184,61472.333333333336,28891,469.98378674417216,20388,331.66139781039703,0.17435951147077802,0.0612321830124328,0.11873176605848547
True,1,0.5,0.1,15,0.95,0.2,6.269785505290606,3.582260129744044,60649.333333333336,52886,871.996394574274,37073,611.2680546090091,0.1340941535342943,0.04376962133542036,0.07288143893485867
True,1,0.5,0.1,15,0.95,0.1,6.48636347243949,3.419749642305701,61380.083333333336,32238,525.2192282784454,22489,366.389206053538,0.16325065419493334,0.05319815457930253,0.10477296630374833
True,1,0.5,0.1,15,0.95,0.05,7.035822802269045,3.4544424426855964,61479.583333333336,21340,347.10710195118975,14876,241.96650649605897,0.18781750535456,0.06880249028892131,0.13146191850842215
True,1,0.5,0.1,15,0.95,0.02,7.642162368952231,3.745328153066604,61887.5,10475,169.2587356089679,7338,118.56998586144213,0.21528595036001144,0.0884217881896306,0.16051732512846448
True,1,0.5,0.1,15,0.99,0.05,6.903248487935799,3.456802278665514,61417.666666666664,23702,385.9150190227568,16614,270.50848561488823,0.18181448213556672,0.06165752382214959,0.1221527468456808
True,1,0.5,0.1,15,0.99,0.2,5.894747878988562,3.5363702382600786,60676.166666666664,57365,945.4288751486718,40254,663.4235847683193,0.12311285816596525,0.04056923073958957,0.06267254994276772
True,1,0.5,0.1,15,0.99,0.1,6.329229033094009,3.3907030562479474,61226.0,37759,616.7151210270147,26390,431.02603469114433,0.15453831895970144,0.04911177318626717,0.09317491830147816
True,1,0.5,0.1,15,0.99,0.02,7.772672880956556,3.751130852826103,61969.916666666664,11640,187.83307491941656,8157,131.6283842025499,0.21582642592672982,0.08492888661300003,0.16049588587741306
True,1,0.5,0.15,5,0.9,0.1,9.894613044649994,6.612605857433316,60963.75,30745,504.3160894794038,21537,353.27551208710094,0.2589946516206904,0.08722486876138359,0.18636508545683114
True,1,0.5,0.15,5,0.9,0.05,10.296057781215938,6.827286525726776,61313.25,16782,273.7091901016501,11722,191.1821669867443,0.28497610018331426,0.10797651404757197,0.21722170129066512
True,1,0.5,0.15,5,0.9,0.02,11.150948719020604,6.913590855280272,61756.333333333336,7642,123.74439328759803,5399,87.42423179269062,0.3046703697499866,0.12954054479099378,0.24775473606462828
True,1,0.5,0.15,5,0.9,0.2,9.620027812060906,6.405669243609517,60089.166666666664,54282,903.3575103665387,37915,630.9789618206278,0.22235136375544898,0.06764057483914591,0.1427960353482208
True,1,0.5,0.15,5,0.95,0.1,9.637124374902731,6.2844015114504215,60887.916666666664,35899,589.5915308866702,25136,412.8241098740172,0.24657621141314146,0.07710731186074517,0.16899370383571558
True,1,0.5,0.15,5,0.95,0.05,10.115856508178252,6.658323995379404,61333.333333333336,18858,307.4673913043478,13242,215.90217391304347,0.2800261111621941,0.09911867581009139,0.20622872573156883
True,1,0.5,0.15,5,0.95,0.2,9.16722206983882,6.2427526611871444,59889.75,60757,1014.4807750908961,42586,711.0732637888786,0.20720698291503514,0.05868581713017968,0.12573943383934208
True,1,0.5,0.15,5,0.95,0.02,11.232562995121,6.833838220502007,61695.666666666664,8676,140.6257597778342,6057,98.17545262498177,0.3036017747820931,0.12431746376498486,0.24155460693782616
True,1,0.5,0.15,5,0.99,0.2,9.02368562439839,6.309497251643674,59719.166666666664,67868,1136.452562689254,47497,795.3392964291197,0.19543857815820967,0.05351156371659687,0.11217913958889884
True,1,0.5,0.15,5,0.99,0.1,9.471627217230033,6.12325349576263,60649.916666666664,40462,667.1402406433646,28327,467.0575254981115,0.23691389067545324,0.06951897847995477,0.15331432971002557
True,1,0.5,0.15,5,0.99,0.05,10.036498319202424,6.434218761058175,61082.416666666664,21538,352.6055643399833,15122,247.56715312235247,0.27323118016803916,0.08815745805193372,0.19173928581722485
True,1,0.5,0.15,5,0.99,0.02,10.954647601869544,6.738874299380995,61777.5,9571,154.92695560681477,6635,107.40156205738336,0.29935303024126836,0.1186757989955927,0.23499624363471697
True,1,0.5,0.15,10,0.9,0.1,9.836835637217147,6.255838681287817,61111.25,31887,521.7860868498027,22324,365.3009879523001,0.25458859092475666,0.08067026136350612,0.18123410351802968
True,1,0.5,0.15,10,0.9,0.2,9.2138676706658,6.293753767209903,60252.5,53863,893.954607692627,37833,627.9075557030828,0.21707295720916384,0.0637122864027512,0.13609617756142314
True,1,0.5,0.15,10,0.9,0.05,10.479519565809358,6.520779155569269,61483.166666666664,17405,283.08561421961025,12100,196.80183464850813,0.2838844579444067,0.10205898245239638,0.21453735672930027
True,1,0.5,0.15,10,0.9,0.02,11.054309130035909,6.813612462409579,61662.666666666664,7574,122.82958894631004,5298,85.91908664345796,0.30332245105843686,0.12673859515430871,0.24618478893246887
True,1,0.5,0.15,10,0.95,0.2,9.169838974478711,6.367959346168831,59831.083333333336,62153,1038.8078660339595,43630,729.2196224649116,0.20585534212652576,0.060492779464857184,0.12329600022539045
