enable_recrudescence,age_based_probability_of_seeking_treatment,factor_effect_age_mature_immunity,beta,immune_effect_on_progression_to_clinical,max_clinical_probability,midpoint,mean_pfpr,mean_eir,mean_population,total_clinical_episodes,avg_clinical_episodes_per_1000,total_treatments,avg_treatments_per_1000,mean_immunity_all,mean_immunity_under5,mean_immunity_2to10
True,1,0.5,0.15,10,0.95,0.1,9.602638111180685,6.3810478988555,60672.75,36464,600.9946804784685,25543,420.99624625552656,0.24625485066858852,0.07329034876401823,0.16485207646616182
True,1,0.5,0.15,10,0.95,0.05,10.400772381780287,6.6005224795163,61041.333333333336,19483,319.17716956816145,13618,223.09473362311874,0.2792299500625483,0.09721881620539541,0.2055292756886469
True,1,0.5,0.15,10,0.95,0.02,10.892437911197588,6.98077546945241,61901.75,8486,137.08820833013607,5875,94.90846381564334,0.30253474898194194,0.12106871673638477,0.24009871320450596
True,1,0.5,0.15,10,0.99,0.2,8.564499162512545,6.199893643791687,59875.333333333336,67407,1125.7891396568425,47551,794.1667687305846,0.18979606041220778,0.05275082672074755,0.10665209738811011
True,1,0.5,0.15,10,0.99,0.1,9.337121050912037,6.315734876250031,60619.75,41186,679.4155370155765,28831,475.6040729300269,0.23468694603628093,0.06773579719014465,0.15213833467165652
True,1,0.5,0.15,10,0.99,0.05,10.003116090560574,6.576457734366399,61283.666666666664,22871,373.19894914903915,15978,260.721997704663,0.27320080908904665,0.0895216789517168,0.19294973150271247
True,1,0.5,0.15,10,0.99,0.02,11.031665909737859,6.888696634222852,61737.5,9902,160.38874266045758,6983,113.10791658230411,0.30127879653155704,0.11661844389282698,0.23438619601936458
True,1,0.5,0.15,15,0.9,0.2,9.326274461689534,6.216845780322006,60154.666666666664,55127,916.421003635074,38376,637.9554925082011,0.21701823656029615,0.06444141339969033,0.13366965521739654
True,1,0.5,0.15,15,0.9,0.02,11.296008597772714,6.790584841126592,61671.5,7703,124.9037237621916,5404,87.62556448278379,0.30379110236322376,0.1261654867336806,0.2445273141619848
True,1,0.5,0.15,15,0.9,0.1,9.831644096452631,6.521057583428713,61060.583333333336,31370,513.7520522650318,22084,361.6735837494728,0.2578087252128211,0.08510816927788036,0.1831767096007606
True,1,0.5,0.15,15,0.9,0.05,10.66277436310812,6.822083085462016,61469.333333333336,17789,289.3963385536419,12452,202.57255650514077,0.28716066042084226,0.10623013186208509,0.2162738489445681
True,1,0.5,0.15,15,0.95,0.05,10.190852371831774,6.5323426630737655,61502.333333333336,20308,330.1988542440124,14189,230.7066940549681,0.27782048392895176,0.09510389024110362,0.2017337410233866
True,1,0.5,0.15,15,0.95,0.2,9.006154375416418,6.350017559470113,60009.166666666664,62446,1040.6076849370236,43804,729.9551457416228,0.20341329973972325,0.05796200798198698,0.11961096479221772
True,1,0.5,0.15,15,0.95,0.02,11.0118018690208,6.81898883353142,61718.0,8655,140.23461550925177,6132,99.35513140412846,0.3015175309542169,0.12074760142425485,0.24038194048465197
True,1,0.5,0.15,15,0.95,0.1,9.69482085266531,6.30148509796538,60760.416666666664,37526,617.6060346305503,26234,431.7613577918739,0.24515980566071505,0.07473300332375322,0.16495879656872936
True,1,0.5,0.15,15,0.99,0.2,8.785567959989542,6.279336824604136,59852.25,69409,1159.6723598528042,48582,811.6988083154769,0.19212809298729194,0.053009588581929605,0.10681394487679935
True,1,0.5,0.15,15,0.99,0.1,9.430621029559122,6.324960810471581,60766.833333333336,42778,703.9695447900581,29868,491.51812529312866,0.23678657983421084,0.06931401878947557,0.1527849885636159
True,1,0.5,0.15,15,0.99,0.05,10.041752302015757,6.469841144410775,61315.666666666664,23080,376.41277106992777,16328,266.29409558187956,0.270999427901238,0.08793980229485598,0.18941677388967817
True,1,0.5,0.15,15,0.99,0.02,11.07704967836648,6.85919061371061,61869.75,10069,162.74512180831505,7067,114.22383313331638,0.3012647199715343,0.1187562190136373,0.23518241453292743
True,1,0.5,0.2,5,0.9,0.05,12.689575062770581,10.074651934053067,61133.75,14525,237.59380047845912,10120,165.5386754452328,0.3518660967273153,0.13099587807286597,0.27513651134748024
True,1,0.5,0.2,5,0.9,0.02,13.785368927340194,10.648022971515347,61551.666666666664,6795,110.39506105981425,4778,77.62584278790177,0.3668835760485835,0.15540481786297153,0.30546813493178876
True,1,0.5,0.2,5,0.9,0.1,12.337968238569978,9.766106635892829,60586.333333333336,29100,480.30633971357673,20497,338.31062010684474,0.3249716276865877,0.10413901718010536,0.23707079632007222
True,1,0.5,0.2,5,0.9,0.2,11.751978309319888,9.635390787001326,59811.416666666664,57911,968.2265230857543,40509,677.2787246581966,0.28160600856386225,0.08061937522864861,0.18440794042431055
True,1,0.5,0.2,5,0.95,0.2,11.525993489782097,9.431184604489207,59641.916666666664,65921,1105.2797040113007,46041,771.9570827563947,0.2688092354619626,0.07303545905770804,0.1684107688963353
True,1,0.5,0.2,5,0.95,0.1,12.06018304817809,9.53683527043758,60280.0,33674,558.6264100862642,23398,388.15527538155277,0.3148377653191926,0.09535187606164337,0.2228106450998981
True,1,0.5,0.2,5,0.95,0.05,12.620958424292844,9.75185483927437,61149.583333333336,17142,280.3289747136462,12090,197.71189501154953,0.3441367450312324,0.11700065158747817,0.26246867765272586
True,1,0.5,0.2,5,0.95,0.02,13.256488511851268,10.431575644988326,61599.5,7657,124.30295700452113,5397,87.61434751905455,0.3623124536746096,0.14944708977345095,0.2976588845931192
True,1,0.5,0.2,5,0.99,0.2,11.337501352225964,9.431668602687356,59422.666666666664,74970,1261.6397783113066,52195,878.3685237956336,0.2545657297318003,0.06562772051394004,0.150686262856798
True,1,0.5,0.2,5,0.99,0.1,11.909015182386511,9.535322286886355,60341.75,37429,620.2836344653577,26297,435.80108299809007,0.3102590052551643,0.08903128897860146,0.21318973791071408
True,1,0.5,0.2,5,0.99,0.02,13.367006859458618,10.535104071018463,61456.916666666664,7964,129.58671589718003,5561,90.48615357913336,0.36351258144342663,0.14695200106176318,0.297012562530461
True,1,0.5,0.2,5,0.99,0.05,12.848895737729267,10.043399060576524,61382.0,19074,310.74256296634195,13398,218.27245772376267,0.344941605664643,0.11554331750461429,0.25885305794125324
True,1,0.5,0.2,10,0.9,0.02,13.890452069149786,10.328376895149349,61908.75,7165,115.73485169705414,5001,80.78018050760191,0.36449432761488426,0.1529080491914822,0.3034679124675201
True,1,0.5,0.2,10,0.9,0.2,11.692997546306445,9.367822345701871,59838.5,59754,998.5878656717665,41855,699.466062819088,0.27584608429376145,0.0755910971623314,0.17684392445078953
True,1,0.5,0.2,10,0.9,0.05,12.978951037431628,9.946925769479677,61104.583333333336,15422,252.3869595161301,10956,179.29915240946193,0.3500694394350139,0.12533435542402346,0.27429571473093844
True,1,0.5,0.2,10,0.9,0.1,12.42704453357856,9.791804375414943,60656.166666666664,30046,495.34946982582153,21060,347.20294996111966,0.32638748313853455,0.10368486412856615,0.23608748721965064
True,1,0.5,0.2,10,0.95,0.2,11.595115475583839,9.3396173736689,59186.666666666664,68326,1154.4154088758728,47630,804.7420590223023,0.2626605881883098,0.06987073179140336,0.15871881585203315
True,1,0.5,0.2,10,0.95,0.05,12.886173744823225,10.074625806444319,61053.0,17535,287.20947373593435,12393,202.98756817846788,0.3478100529333523,0.11935648739260431,0.2631132053844215
True,1,0.5,0.2,10,0.95,0.1,12.077260124384454,9.621475967755414,60596.0,35296,582.480691794838,24619,406.2809426364777,0.3171114927495666,0.09202979956245638,0.2223415653497652
True,1,0.5,0.2,10,0.95,0.02,13.570530240197966,10.40068012297472,61803.166666666664,7979,129.1034170309504,5553,89.84976497968012,0.36333744131302975,0.15013602310226223,0.30011944873798624
True,1,0.5,0.2,10,0.99,0.2,11.03837279968009,9.531671279973425,59458.583333333336,75607,1271.5910094281312,53047,892.1672368581492,0.25004034890655913,0.06498496205464652,0.14715158865664915
True,1,0.5,0.2,10,0.99,0.1,11.908721105533857,9.68536159507291,60472.333333333336,40862,675.7139628590485,28598,472.9104769674286,0.30690891298842415,0.08633919259731161,0.20428537091892143
True,1,0.5,0.2,10,0.99,0.02,13.112145635891084,10.565913569609636,61537.666666666664,8502,138.15928455742554,5922,96.23374301918066,0.3623497532628874,0.14322901365476307,0.29415552102954284
True,1,0.5,0.2,10,0.99,0.05,12.692248575679988,10.121918575110643,60915.833333333336,19730,323.8895196924718,13816,226.80474425094735,0.3438395755951645,0.11260533509684201,0.25492956517065807
True,1,0.5,0.2,15,0.9,0.2,11.574479845951265,9.437125248726101,59862.166666666664,59993,1002.1855763100234,42087,703.065096763955,0.27434844474958836,0.07598603792851989,0.1739639068506719
True,1,0.5,0.2,15,0.9,0.1,12.098178379194929,9.802382505946056,60376.25,28953,479.5428666073166,20249,335.3802198712242,0.32467624279206514,0.1019980261526262,0.23341159889538976
True,1,0.5,0.2,15,0.9,0.02,13.542981047486848,10.929664734479005,61581.333333333336,6718,109.09149958861993,4767,77.40982115792664,0.36956432641216036,0.1558426910825765,0.3088987900835466
True,1,0.5,0.2,15,0.9,0.05,12.923935901070067,10.14714507178981,61183.916666666664,14916,243.7895579856907,10462,170.99264921200697,0.35044547250165237,0.12656510581173577,0.2736135441913289
True,1,0.5,0.2,15,0.95,0.2,11.355990943255923,9.550734864478784,59961.166666666664,69160,1153.4131813090141,48365,806.6053862638875,0.26178865020454967,0.07132766948153209,0.16087290020117329
True,1,0.5,0.2,15,0.95,0.1,12.023072614105992,9.400882486239135,60430.75,35726,591.1890883366499,24973,413.2498769252409,0.3133420465043641,0.0915495227188819,0.2159560759962249
True,1,0.5,0.2,15,0.95,0.05,12.712149995116997,10.175234680378306,61125.166666666664,17511,286.47774648194553,12218,199.8849355557313,0.34770426329375836,0.12050102700248523,0.2642803456252549
True,1,0.5,0.2,15,0.95,0.02,13.52205938273365,10.61764058310734,61970.916666666664,7848,126.64005023862002,5544,89.46131989333706,0.3653412121032256,0.14992881197375402,0.2996569601968832
True,1,0.5,0.2,15,0.99,0.05,12.617747635883632,9.913455123439947,61031.75,19881,325.74848337135995,13845,226.84913999680495,0.3421560652914077,0.11076724177635174,0.2519293162333147
True,1,0.5,0.2,15,0.99,0.1,11.811990441482763,9.324915941305774,60443.333333333336,41806,691.6560966194231,29257,484.04014779683445,0.3020995382636041,0.08088974997929346,0.1931346050835632
True,1,0.5,0.2,15,0.99,0.2,11.092044872508461,9.42723364580638,59578.416666666664,77746,1304.9356520328251,54349,912.2263235707562,0.24852665921227624,0.06434415729012721,0.1454253775102692
True,1,0.5,0.2,15,0.99,0.02,13.351870533102664,10.59114718023464,61807.5,8515,137.7664522913886,6010,97.23739028435061,0.3640433704859572,0.14708557220041205,0.29895690657394164
True,1,1.0,0.1,5,0.9,0.2,6.936121930116492,3.718172883585259,60523.25,48339,798.6848029476275,34006,561.8667206404151,0.15123936098677085,0.034097239248625726,0.06834293501914644
True,1,1.0,0.1,5,0.9,0.02,8.315710426563479,4.04488830760751,61664.916666666664,12486,202.48142177007728,8761,142.07430210857336,0.22030958244818397,0.052218971407837184,0.13713363197390974
True,1,1.0,0.1,5,0.9,0.1,7.0159784272817305,3.7219903415593887,61161.5,31108,508.6206191803667,21878,357.708689289831,0.17554492359805532,0.037114715980401294,0.09190538343741878
True,1,1.0,0.1,5,0.9,0.05,7.6942058194527325,3.8529561895593933,61438.083333333336,21812,355.0240960750457,15292,248.90099381898034,0.19708187820307912,0.04259641494741099,0.11252163912689918
True,1,1.0,0.1,5,0.95,0.2,6.452999618015621,3.6670491440954627,60601.666666666664,53555,883.7215698138116,37574,620.0159511564589,0.13601745829686304,0.03143804840996447,0.05522516045078646
True,1,1.0,0.1,5,0.95,0.1,6.82144352730479,3.651754033129878,60972.25,36643,600.9783139050961,25584,419.600719999672,0.16517170438722215,0.033127727366194466,0.07924265683794741
True,1,1.0,0.1,5,0.95,0.05,7.399706885735039,3.7775692868010053,61354.333333333336,24527,399.7598648288901,17168,279.81723648968017,0.1893971611873804,0.03902492871888283,0.10243290048253155
True,1,1.0,0.1,5,0.95,0.02,8.1640206707993,3.9614066249750244,62049.083333333336,14220,229.17340976028385,9939,160.17964272907602,0.21658309802126818,0.04907678522372327,0.13084205639597404
True,1,1.0,0.1,5,0.99,0.1,6.487818133634469,3.573914985228184,60691.333333333336,39151,645.0838669991323,27381,451.1517295165702,0.1552657820158436,0.03051810432106551,0.06838901231220416
True,1,1.0,0.1,5,0.99,0.2,6.397417299702622,3.561989846126137,60454.666666666664,60232,996.3167993648133,42057,695.6783044044023,0.1259949052064838,0.029444649555671585,0.04882854865265987
True,1,1.0,0.1,5,0.99,0.05,7.03056128144059,3.665361715738824,61420.833333333336,27333,445.0118716504986,19179,312.25561359473573,0.18281361737526927,0.03506486954230282,0.0904954131533836
True,1,1.0,0.1,5,0.99,0.02,8.140652764178947,3.9469238869955974,61656.916666666664,15550,252.20203734914847,10864,176.20083175312854,0.21585608468461914,0.04634021967567826,0.12671273440289485
True,1,1.0,0.1,10,0.9,0.1,7.025696311833744,3.7515797133188484,61196.75,32894,537.5122044879835,22919,374.51335242476114,0.17212242228742639,0.035233012872769434,0.0864300080580842
True,1,1.0,0.1,10,0.9,0.05,7.644319621681025,3.926066847063901,61214.916666666664,22359,365.2541115387181,15869,259.23420081434404,0.19746521755508528,0.042329885480858094,0.11166537722318688
True,1,1.0,0.1,10,0.9,0.02,8.456616713298814,4.128706707442505,61668.416666666664,12690,205.77794413942308,8782,142.40676953762124,0.22250306174985937,0.05337709129564366,0.13850286841968806
True,1,1.0,0.1,10,0.9,0.2,6.906662024644809,3.723057665753705,60720.166666666664,49887,821.5886539617535,34821,573.4668053721855,0.1487232206721157,0.03332065608563489,0.06657783761845117
True,1,1.0,0.1,10,0.95,0.2,6.938241648196247,3.7988439810994987,60460.0,57466,950.4796559708898,40245,665.646708567648,0.14218324300848625,0.03257842388746316,0.059979357083396016
True,1,1.0,0.1,10,0.95,0.1,6.812538403065108,3.6986940366332117,60753.75,37048,609.8059790547908,25906,426.4098923934737,0.1641994040305701,0.03380980031459575,0.07868717961127121
True,1,1.0,0.1,10,0.95,0.02,8.230440644166661,4.066740287058684,61731.166666666664,14209,230.17546512161604,9944,161.0855672580301,0.21872681650188275,0.0488168922911052,0.1310073130254866
True,1,1.0,0.1,10,0.95,0.05,7.526926569462627,3.669557676332134,61331.75,26112,425.7501212667175,18273,297.93703913552116,0.18878441170687388,0.03774267677731389,0.10190164268673331
True,1,1.0,0.1,10,0.99,0.1,6.526180048735394,3.549982718695072,60931.833333333336,41469,680.5802112196417,28985,475.6955176686515,0.15299601252404968,0.03005336141657607,0.06652295985121352
True,1,1.0,0.1,10,0.99,0.2,6.227800096786363,3.7064065983560255,60548.416666666664,60908,1005.9387735159604,42897,708.4743476639219,0.12530940350595596,0.029106728293017112,0.047332364572774455
True,1,1.0,0.1,10,0.99,0.05,7.198956436033073,3.7815836403990075,61276.416666666664,27715,452.2947245881708,19419,316.9082178162615,0.1858066876299488,0.03474563738486555,0.09499703723103968
True,1,1.0,0.1,10,0.99,0.02,8.018215208387877,4.0761230632510435,61789.083333333336,15727,254.52716162105227,11122,179.99943355689854,0.21450865862988186,0.046036569317914104,0.12387117997391561
True,1,1.0,0.1,15,0.9,0.2,6.858575029772033,3.752431983323621,60667.666666666664,49962,823.5358757822673,34974,576.4850029944562,0.14655234674722625,0.03356114690947819,0.06359605436567595
True,1,1.0,0.1,15,0.9,0.05,7.478172538389926,3.713487644455879,61535.083333333336,22742,369.5777882806691,15853,257.62539256061245,0.19290556314694385,0.04058536146633961,0.1083425813125977
True,1,1.0,0.1,15,0.9,0.1,7.154994667975726,3.660202611512277,60836.5,32912,540.9910169059693,23085,379.45969935811564,0.17381012171701707,0.035555335138605905,0.08813352184818268
True,1,1.0,0.1,15,0.9,0.02,8.44676213912287,4.025150618002782,61673.0,13025,211.1945259676033,9157,148.4766429393738,0.2191936321953336,0.051767245639335706,0.13462057570317487
True,1,1.0,0.1,15,0.95,0.1,6.694913466267109,3.692387758881489,61276.666666666664,36718,599.2166675733015,25603,417.82625251591145,0.16237272723249133,0.03252648775088037,0.0757733886905935
True,1,1.0,0.1,15,0.95,0.2,6.351792175023991,3.776525084081532,60867.416666666664,55103,905.295526205181,38703,635.8574442538359,0.1353125585716666,0.030441701777179673,0.052910277888771305
True,1,1.0,0.1,15,0.95,0.05,7.319490387611215,3.8572558114684643,61145.666666666664,25212,412.32684790963657,17727,289.91424848858196,0.19024307087883366,0.038436586468529925,0.10345091549150677
True,1,1.0,0.1,15,0.95,0.02,8.164130496293728,3.9711389162231385,61697.833333333336,14504,235.08118869652364,10184,165.0625224548674,0.21602426758891977,0.04743888682595109,0.12535730614201357
True,1,1.0,0.1,15,0.99,0.1,6.507639688514549,3.4903187098794763,60857.583333333336,41915,688.7391464498398,29418,483.39086747611566,0.15040508286665377,0.030649331286268924,0.06457061371623728
True,1,1.0,0.1,15,0.99,0.2,6.604920343277221,3.8675926695895533,60547.833333333336,63819,1054.0261556290204,44558,735.9140294037496,0.13130589050506764,0.03113249439875365,0.05143187754883444
True,1,1.0,0.1,15,0.99,0.05,7.019084651366653,3.823027180298391,61044.333333333336,27326,447.6418777609715,19098,312.8545920178231,0.18446399256967846,0.03442708114448521,0.09358663968533132
True,1,1.0,0.1,15,0.99,0.02,7.960192380814537,4.043606789422446,61765.0,15490,250.7892819558002,10883,176.20011333279365,0.21502716917244954,0.04584268364423131,0.12359208001526567
True,1,1.0,0.15,5,0.9,0.1,10.289662604115867,6.498104512259588,60349.416666666664,36899,611.4226456207116,25752,426.71497791334633,0.25361690598771763,0.043932389470318446,0.13317293821553627
